DecisionTimeMs,DelayMs,StimType1st,StimType2nd,StimPos1st,StimPos2nd,KeyPressed,Correct
1250,0,spider,apple,deg15,deg-15,Left,True
1133,100,snake,banana,deg-15,deg15,Left,True
918,100,apple,snake,deg-15,deg15,Left,True
1390,25,spider,banana,deg-15,deg15,Right,False
1495,50,snake,apple,deg15,deg-15,Right,True
1981,25,snake,apple,deg15,deg-15,Left,False
1175,50,apple,snake,deg15,deg-15,Left,False
1608,100,snake,apple,deg15,deg-15,Right,True
646,50,snake,apple,deg-15,deg15,Left,True
918,100,banana,spider,deg-15,deg15,Left,True
1034,25,banana,snake,deg15,deg-15,Left,False
1592,50,snake,banana,deg-15,deg15,Right,False
2022,0,banana,spider,deg-15,deg15,Left,True
976,50,spider,apple,deg15,deg-15,Left,False
1006,100,apple,snake,deg15,deg-15,Right,True
891,50,banana,snake,deg-15,deg15,Left,True
1107,50,snake,apple,deg-15,deg15,Left,True
1003,50,banana,spider,deg-15,deg15,Left,True
1336,0,apple,spider,deg15,deg-15,Right,True
977,0,spider,banana,deg15,deg-15,Left,True
1290,0,banana,snake,deg15,deg-15,Right,True
1234,100,banana,spider,deg15,deg-15,Right,True
961,50,banana,snake,deg-15,deg15,Left,True
949,25,banana,snake,deg-15,deg15,Left,True
632,0,banana,snake,deg-15,deg15,Left,True
590,0,spider,banana,deg15,deg-15,Left,True
1133,50,spider,apple,deg15,deg-15,Right,True
1012,100,spider,apple,deg15,deg-15,Right,True
1708,25,snake,banana,deg15,deg-15,Left,False
1880,50,banana,snake,deg15,deg-15,Right,True
1207,50,spider,apple,deg15,deg-15,Right,True
1222,50,banana,snake,deg-15,deg15,Left,True
1280,25,apple,snake,deg15,deg-15,Right,True
834,100,snake,banana,deg-15,deg15,Left,True
1549,50,spider,banana,deg-15,deg15,Left,True
1724,0,banana,snake,deg15,deg-15,Left,True
877,25,banana,snake,deg15,deg-15,Left,False
1607,100,banana,snake,deg-15,deg15,Left,True
650,50,snake,apple,deg-15,deg15,Left,True
1011,25,spider,apple,deg15,deg-15,Left,False
1396,25,apple,snake,deg15,deg-15,Right,True
691,100,apple,snake,deg-15,deg15,Left,True
934,50,apple,spider,deg15,deg-15,Right,True
704,0,apple,spider,deg15,deg-15,Right,True
1061,100,spider,banana,deg15,deg-15,Right,True
1295,100,apple,spider,deg15,deg-15,Right,True
1136,100,apple,snake,deg-15,deg15,Left,True
1152,25,apple,spider,deg15,deg-15,Right,True
990,25,apple,snake,deg15,deg-15,Right,True
1437,50,snake,banana,deg15,deg-15,Right,True
1350,0,spider,apple,deg-15,deg15,Right,True
1322,50,apple,spider,deg15,deg-15,Right,True
