DecisionTimeMs,DelayMs,StimType1st,StimType2nd,StimPos1st,StimPos2nd,KeyPressed,Correct
727,50,banana,spider,deg-15,deg15,Left,True
2383,0,banana,snake,deg15,deg-15,Right,True
824,50,banana,snake,deg-15,deg15,Left,True
924,50,spider,banana,deg-15,deg15,Left,True
852,25,snake,banana,deg-15,deg15,Left,True
793,50,spider,apple,deg-15,deg15,Right,False
1041,25,banana,snake,deg15,deg-15,Right,True
740,50,snake,banana,deg-15,deg15,Left,True
795,25,banana,snake,deg-15,deg15,Right,False
843,0,spider,banana,deg-15,deg15,Left,True
1141,50,spider,apple,deg15,deg-15,Right,True
1158,50,apple,snake,deg15,deg-15,Left,False
1302,50,snake,apple,deg15,deg-15,Right,True
1143,50,apple,spider,deg-15,deg15,Right,False
3670,50,banana,spider,deg-15,deg15,Right,False
853,100,spider,banana,deg15,deg-15,Right,True
1547,100,snake,banana,deg15,deg-15,Right,True
662,50,snake,banana,deg-15,deg15,Left,True
753,0,spider,banana,deg-15,deg15,Left,True
609,100,spider,banana,deg15,deg-15,Right,True
810,50,banana,spider,deg-15,deg15,Left,True
824,25,apple,snake,deg-15,deg15,Right,False
754,0,snake,banana,deg-15,deg15,Right,True
898,50,apple,spider,deg15,deg-15,Right,True
724,50,spider,banana,deg-15,deg15,Left,True
721,25,spider,apple,deg-15,deg15,Left,True
1748,100,apple,spider,deg-15,deg15,Left,True
741,25,apple,snake,deg-15,deg15,Left,True
1042,0,banana,snake,deg-15,deg15,Right,True
753,50,banana,snake,deg15,deg-15,Right,True
765,100,snake,apple,deg-15,deg15,Left,True
723,25,banana,spider,deg15,deg-15,Right,True
721,0,apple,spider,deg-15,deg15,Right,True
808,100,snake,banana,deg15,deg-15,Right,True
810,100,banana,spider,deg15,deg-15,Right,True
737,100,spider,apple,deg-15,deg15,Left,True
750,25,snake,banana,deg-15,deg15,Left,True
753,50,spider,banana,deg-15,deg15,Left,True
738,0,snake,apple,deg15,deg-15,Right,True
692,25,spider,banana,deg15,deg-15,Left,False
708,100,apple,spider,deg15,deg-15,Right,True
609,50,apple,snake,deg15,deg-15,Right,True
694,50,banana,spider,deg15,deg-15,Right,True
882,50,spider,banana,deg-15,deg15,Right,False
782,50,apple,snake,deg15,deg-15,Right,True
823,50,snake,banana,deg15,deg-15,Right,True
693,50,apple,snake,deg15,deg-15,Right,True
651,100,banana,snake,deg15,deg-15,Right,True
825,100,spider,apple,deg-15,deg15,Left,True
537,100,spider,apple,deg-15,deg15,Left,True
1116,50,banana,snake,deg15,deg-15,Right,True
739,0,snake,banana,deg15,deg-15,Right,True
840,0,snake,banana,deg15,deg-15,Left,True
1096,25,snake,apple,deg-15,deg15,Right,False
916,100,spider,apple,deg-15,deg15,Left,True
885,25,snake,apple,deg15,deg-15,Right,True
780,25,spider,banana,deg15,deg-15,Left,False
856,100,apple,snake,deg-15,deg15,Left,True
867,50,snake,banana,deg-15,deg15,Left,True
626,50,snake,banana,deg-15,deg15,Left,True
1419,50,apple,spider,deg15,deg-15,Right,True
767,100,banana,snake,deg15,deg-15,Right,True
983,25,spider,apple,deg-15,deg15,Right,False
594,50,spider,banana,deg15,deg-15,Right,True
564,50,spider,banana,deg-15,deg15,Right,False
883,50,apple,spider,deg-15,deg15,Left,True
752,100,apple,spider,deg15,deg-15,Right,True
