DecisionTimeMs,DelayMs,StimType1st,StimType2nd,StimPos1st,StimPos2nd,KeyPressed,Correct
2302,100,banana,spider,deg15,deg-15,Right,False
731,25,apple,snake,deg15,deg-15,Left,True
659,50,apple,snake,deg15,deg-15,Left,True
1199,25,banana,snake,deg-15,deg15,Right,True
1368,25,banana,spider,deg15,deg-15,Left,True
1306,50,apple,snake,deg15,deg-15,Left,True
690,100,snake,banana,deg15,deg-15,Right,False
1074,25,banana,spider,deg15,deg-15,Left,True
897,100,apple,snake,deg15,deg-15,Right,False
1550,25,snake,apple,deg15,deg-15,Right,False
1525,50,snake,banana,deg-15,deg15,Left,False
748,0,spider,apple,deg-15,deg15,Left,True
643,25,spider,banana,deg15,deg-15,Right,False
662,50,banana,snake,deg-15,deg15,Right,True
1064,50,snake,banana,deg15,deg-15,Left,True
1077,100,banana,spider,deg15,deg-15,Right,False
1361,50,spider,apple,deg15,deg-15,Right,False
1006,100,spider,banana,deg15,deg-15,Right,False
854,100,spider,banana,deg15,deg-15,Right,False
1211,25,spider,banana,deg-15,deg15,Left,False
599,25,snake,apple,deg15,deg-15,Right,False
719,100,snake,banana,deg15,deg-15,Right,False
1540,0,apple,spider,deg15,deg-15,Right,True
1569,100,banana,spider,deg15,deg-15,Left,True
2200,0,apple,snake,deg-15,deg15,Right,True
721,50,spider,banana,deg15,deg-15,Right,False
734,50,banana,spider,deg15,deg-15,Left,True
1095,100,apple,spider,deg15,deg-15,Right,False
838,100,banana,spider,deg-15,deg15,Right,True
7215,50,spider,banana,deg-15,deg15,Right,True
703,25,spider,apple,deg15,deg-15,Right,False
1078,50,banana,snake,deg15,deg-15,Right,False
1289,25,snake,banana,deg15,deg-15,Right,False
690,25,banana,spider,deg-15,deg15,Right,True
825,100,spider,banana,deg-15,deg15,Left,False
809,100,snake,banana,deg-15,deg15,Left,False
689,0,snake,banana,deg15,deg-15,Right,True
792,25,spider,apple,deg15,deg-15,Right,False
1181,25,banana,snake,deg15,deg-15,Right,False
1302,50,spider,banana,deg-15,deg15,Left,False
1092,50,apple,spider,deg15,deg-15,Right,False
1752,25,apple,snake,deg15,deg-15,Left,True
942,0,apple,snake,deg-15,deg15,Right,True
1763,100,apple,spider,deg15,deg-15,Left,True
717,0,spider,apple,deg15,deg-15,Right,True
2096,25,apple,snake,deg-15,deg15,Right,True
631,0,snake,apple,deg15,deg-15,Right,True
1930,100,spider,banana,deg-15,deg15,Left,False
688,0,spider,apple,deg-15,deg15,Right,True
1211,0,banana,spider,deg15,deg-15,Left,True
794,25,snake,apple,deg-15,deg15,Right,True
617,100,apple,spider,deg15,deg-15,Right,False
6554,0,snake,banana,deg-15,deg15,Right,True
1286,50,snake,banana,deg-15,deg15,Left,False
806,0,spider,apple,deg-15,deg15,Left,True
729,100,snake,apple,deg15,deg-15,Right,False
879,25,spider,apple,deg-15,deg15,Left,False
1304,0,spider,banana,deg-15,deg15,Left,True
865,50,snake,banana,deg-15,deg15,Left,False
699,25,snake,banana,deg-15,deg15,Right,True
863,50,snake,banana,deg15,deg-15,Right,False
805,100,banana,spider,deg-15,deg15,Right,True
1152,50,snake,banana,deg15,deg-15,Right,False
926,50,spider,banana,deg-15,deg15,Left,False
807,100,spider,apple,deg-15,deg15,Left,False
1035,0,spider,banana,deg-15,deg15,Right,True
899,100,spider,banana,deg-15,deg15,Left,False
837,50,apple,spider,deg15,deg-15,Left,True
