DecisionTimeMs,DelayMs,StimType1st,StimType2nd,StimPos1st,StimPos2nd,KeyPressed,Correct
1483,50,apple,spider,deg15,deg-15,H,True
1385,0,snake,banana,deg-15,deg15,G,True
853,50,snake,apple,deg-15,deg15,G,True
1632,0,banana,spider,deg-15,deg15,G,True
4107,50,apple,spider,deg-15,deg15,H,True
1521,50,snake,banana,deg-15,deg15,G,True
1348,50,apple,snake,deg-15,deg15,H,True
1062,50,apple,snake,deg15,deg-15,H,True
812,50,apple,spider,deg15,deg-15,H,True
1489,100,banana,spider,deg-15,deg15,G,False
2439,0,banana,snake,deg15,deg-15,G,True
1912,100,banana,snake,deg-15,deg15,H,True
4034,50,apple,spider,deg-15,deg15,H,True
2092,0,snake,apple,deg-15,deg15,G,True
1172,50,banana,spider,deg15,deg-15,H,True
2587,25,banana,spider,deg-15,deg15,G,False
1631,0,snake,apple,deg-15,deg15,G,True
1238,50,banana,snake,deg-15,deg15,H,True
1098,100,spider,apple,deg-15,deg15,G,True
1455,0,snake,banana,deg-15,deg15,G,True
1871,25,banana,snake,deg15,deg-15,H,True
2692,25,apple,snake,deg-15,deg15,G,False
1277,100,banana,spider,deg-15,deg15,H,True
1734,50,spider,banana,deg15,deg-15,G,True
1310,50,apple,spider,deg15,deg-15,H,True
2053,25,spider,apple,deg-15,deg15,H,False
1134,100,banana,spider,deg15,deg-15,H,True
1061,25,spider,banana,deg15,deg-15,G,True
1806,25,spider,banana,deg-15,deg15,H,False
1138,50,banana,spider,deg15,deg-15,H,True
1207,25,apple,snake,deg-15,deg15,G,False
746,25,snake,apple,deg15,deg-15,G,True
2582,0,snake,banana,deg-15,deg15,G,True
1063,100,banana,spider,deg-15,deg15,H,True
1347,50,banana,spider,deg15,deg-15,H,True
1025,0,snake,apple,deg15,deg-15,G,True
987,50,apple,spider,deg15,deg-15,H,True
1520,25,banana,snake,deg-15,deg15,G,False
777,50,spider,apple,deg15,deg-15,G,True
919,0,apple,snake,deg-15,deg15,G,True
925,50,banana,spider,deg-15,deg15,H,True
1241,0,banana,spider,deg-15,deg15,G,True
956,0,banana,spider,deg-15,deg15,G,True
1277,100,snake,banana,deg-15,deg15,G,True
853,50,banana,snake,deg15,deg-15,H,True
1420,50,banana,snake,deg-15,deg15,H,True
962,50,spider,apple,deg-15,deg15,G,True
1347,25,snake,banana,deg-15,deg15,G,True
746,100,snake,banana,deg15,deg-15,G,True
1383,25,apple,spider,deg-15,deg15,G,False
966,0,apple,spider,deg-15,deg15,G,True
856,100,snake,apple,deg15,deg-15,G,True
2765,50,apple,snake,deg-15,deg15,H,True
998,0,snake,apple,deg15,deg-15,G,True
1030,0,apple,snake,deg15,deg-15,H,True
854,100,apple,snake,deg15,deg-15,H,True
1347,0,snake,apple,deg-15,deg15,G,True
1775,25,spider,apple,deg-15,deg15,H,False
1062,50,apple,snake,deg-15,deg15,H,True
1138,50,apple,snake,deg-15,deg15,H,True
993,50,spider,banana,deg-15,deg15,G,True
1030,25,apple,snake,deg15,deg-15,G,False
993,0,spider,banana,deg15,deg-15,G,True
1031,0,apple,snake,deg-15,deg15,G,True
3578,25,banana,spider,deg15,deg-15,H,True
1380,25,apple,spider,deg-15,deg15,H,True
1100,0,apple,spider,deg-15,deg15,H,True
1170,25,apple,snake,deg-15,deg15,G,False
1062,25,spider,apple,deg15,deg-15,G,True
819,25,snake,apple,deg15,deg-15,G,True
992,100,banana,spider,deg15,deg-15,H,True
1100,50,apple,spider,deg-15,deg15,G,False
923,25,banana,spider,deg-15,deg15,G,False
924,100,banana,spider,deg15,deg-15,H,True
996,0,banana,spider,deg-15,deg15,G,True
1593,0,banana,snake,deg-15,deg15,G,True
1484,25,snake,banana,deg-15,deg15,G,True
999,0,spider,banana,deg-15,deg15,G,True
1073,25,snake,banana,deg-15,deg15,H,False
1992,25,apple,snake,deg15,deg-15,H,True
887,100,snake,banana,deg-15,deg15,G,True
1563,50,apple,spider,deg15,deg-15,H,True
1314,50,apple,snake,deg-15,deg15,G,False
1600,0,spider,apple,deg-15,deg15,H,True
1066,25,snake,banana,deg15,deg-15,G,True
1348,50,banana,snake,deg15,deg-15,H,True
1490,25,snake,banana,deg15,deg-15,G,True
993,100,spider,banana,deg-15,deg15,G,True
1490,50,banana,snake,deg-15,deg15,H,True
