DecisionTimeMs,DelayMs,StimType1st,StimType2nd,StimPos1st,StimPos2nd,KeyPressed,Correct
1094,300,banana,spider,deg-15,deg15,Left,True
929,300,spider,banana,deg-15,deg15,Left,True
893,300,apple,snake,deg-15,deg15,Left,True
961,300,spider,banana,deg-15,deg15,Left,True
656,300,apple,snake,deg15,deg-15,Right,True
581,300,banana,snake,deg-15,deg15,Left,True
584,300,snake,banana,deg-15,deg15,Left,True
583,300,banana,spider,deg-15,deg15,Left,True
623,300,apple,snake,deg-15,deg15,Left,True
636,300,spider,banana,deg-15,deg15,Left,True
584,300,spider,banana,deg-15,deg15,Left,True
564,300,spider,apple,deg-15,deg15,Left,True
545,300,banana,spider,deg15,deg-15,Right,True
456,300,apple,spider,deg15,deg-15,Right,True
382,300,snake,banana,deg-15,deg15,Left,True
400,300,snake,apple,deg-15,deg15,Left,True
437,300,banana,snake,deg-15,deg15,Left,True
366,300,banana,snake,deg-15,deg15,Left,True
494,300,banana,spider,deg15,deg-15,Right,True
366,300,banana,snake,deg-15,deg15,Left,True
402,300,apple,snake,deg-15,deg15,Left,True
383,300,apple,snake,deg15,deg-15,Right,True
1258,300,spider,apple,deg-15,deg15,Left,True
566,300,apple,snake,deg15,deg-15,Right,True
402,300,banana,spider,deg15,deg-15,Right,True
457,300,spider,apple,deg15,deg-15,Right,True
329,300,spider,banana,deg-15,deg15,Left,True
366,300,apple,spider,deg15,deg-15,Right,True
400,300,snake,banana,deg15,deg-15,Right,True
402,300,spider,apple,deg-15,deg15,Left,True
